Needs,Feelings,ResponseID,Life_Satisfaction,Plan_graduate_thisyear,Feeling_today,Degree_programm,Faculty
,"Tired, not in the mood for 'compulsory' things, constantly the feeling that I still have to do a lot and have no time for breaks.",278,6,nee,5,bachelor jaar 3,technische natuurwetenschappen (tnw)
,,279,,,,,"electrotechniek, wiskunde & informatica (ewi)"
The most annoying: working from home/taking exams while the WiFi is bad and the internet provider indicates that the WiFi cannot be improved,,280,7,nee,7,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
"Working groups are certainly less efficient than offline online. When in a group with international students it is even more difficult (literally resolve in translation), cultural differences, low level of the English language, do not show up etc are all problems that occur. That gives a very negative and even poorer motivation and efficiency, this would be easy to solve by seeing each other more often. After a year of coronacrisis, it is still difficult to separate studying at home and not to study. There is always the possibility to continue. When I am alone, I notice that I am not taking care of myself. Skip meals, or haste, for example because there is still a meeting at a crazy moment.",,281,7,nee,8,masters jaar 1,civiele techniek & geowetenschappen (citg)
,,282,6,yes,8,masters 2nd year +,aerospace engineering (ae)
,,283,5,no,7,masters 1st year,aerospace engineering (ae)
,,284,4,nee,2,masters jaar 1,civiele techniek & geowetenschappen (citg)
,,285,7,nee,8,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,286,3,no,5,bachelor 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,287,7,no,6,masters 1st year,aerospace engineering (ae)
"I need social contact and notice that my motivation level is very low when there are no mandatory lectures or working groups, because we had a lot of self -study, I noticed that I was doing everything for me",,288,7,ja,7,bachelor jaar 1,industrieel ontwerpen (io)
,,289,7,ja,8,masters jaar 2 +,"techniek, bestuur en management (tbm)"
"It was pretended from the entire university as if there was no corona and that it was no influence on the way of studying. But sitting behind the computer all day in meetings, is not the most efficient method of studying, certainly in comparison with ta's home lectures. However, zero is taken into account, so you usually spend twice as long in assignments.",,290,4,nee,3,bachelor jaar 3,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,291,8,nee,8,masters jaar 1,industrieel ontwerpen (io)
,,292,,,,masters jaar 2 +,industrieel ontwerpen (io)
,,293,,nee,7,bachelor jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
,,294,5,yes,3,masters 2nd year +,architecture and the built environment (a&be)
"That my teacher no longer recorded the college because few people showed up. But during the lessons I received from him, I had other courses the year before.",chillin ',295,9,ja,8,bachelor jaar 2,anders
"I really like that we can come to campus more and more often, so I can work and work together much better and ask questions.",,296,9,nee,8,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,297,7,no,6,masters 1st year,"mechanical, maritime, and material engineering (3me)"
,,298,4,no,4,masters 1st year,civil engineering and geosciences (ceg)
"Sometimes it was difficult to find motivation to follow lectures on my own and to make assignments. There was often a possibility to ask questions, but often there was a long line to ask a question and it is a bit more difficult online than in real life",,299,6,nee,7,bachelor jaar 1,technische natuurwetenschappen (tnw)
,Special Day Since My Roommate is Handing in Her Thesis :) and Working Day is fine,300,8,nee,8,masters jaar 1,industrieel ontwerpen (io)
"Physical lectures and studying on campus, I hope they will not be replaced with online environments.",,301,7,nee,7,masters jaar 1,"techniek, bestuur en management (tbm)"
"My motivation and concentration has fallen considerably in the last 1.5 years during the Corona. I am not good at studying online/ remotely. I tried different ways, but without results. I ignore my studies at the moment, which I feel a bit guilty about. Not the ideal situation, I look forward to a 'normal' study year!",,302,6,nee,6,bachelor jaar 2,civiele techniek & geowetenschappen (citg)
,,303,,,,,
,,304,7,ja,8,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
,,305,4,nee,6,bachelor jaar 4 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,306,5,no,5,masters 2nd year +,aerospace engineering (ae)
,,307,8,nee,7,masters jaar 2 +,technische natuurwetenschappen (tnw)
,,308,7,nee,7,masters jaar 1,technische natuurwetenschappen (tnw)
,,309,4,no,4,masters 2nd year +,aerospace engineering (ae)
"Few known fellow students, little interaction, few activities, I have come out little, alienation from my environment, unsuitable living space, depression, gloom, if the weather was nice outside I didn't even realize it, poor school performance, little motivation.",,310,0,nee,0,bachelor jaar 1,technische natuurwetenschappen (tnw)
"Colleges that I had to look back were sometimes not really focused on the viewers, think of using a pointer that you don't see at Legeerama, I have the feeling that we are a bit matted in terms of exams of exams and because of that feeling I find it difficult to estimate it how difficult such a university study really is",Nice weather and the summer vacation is now very close :),311,6,nee,8,bachelor jaar 1,civiele techniek & geowetenschappen (citg)
"Little contact with people, but that had to do with a feeling of insecurity and fear of Corona. Despite good adjustments for a workplace, it was sometimes very difficult to work at home. With depression it is very easy to lock yourself up at home for days.",Very tense in particular.,312,3,nee,4,bachelor jaar 4 +,"electrotechniek, wiskunde & informatica (ewi)"
"I didn't understand the past tense of the questions. Furthermore, I fear that when we leave the epidemic will not change much. A general consensus that one must be useful is already in this survey. Yet I think you can have a vision of how it could go and not sit down. It is only difficult to find a balance between what you project on the other, but on the other hand your own I also adjust. I really enjoyed the movies of the rector and the math teacher. Especially those of the mathematics teacher. About mathematics and music. I also had an additional question for her: how could she use the two to describe humanity?",The graduation is slow.,313,10,nee,5,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
"I did not suffer from problems during the coronacrisis in terms of education. Perhaps a problem was that my first project (I study electrical engineering) the moment it was useful to be physically present, was moved to online by the increasing infections. I respected that decision enormously, because I did not feel safe with my fellow students who were shit on the measures. Yet I thought it was very unfortunate to hear that a mechanical engineering student was allowed to go physically physically every week. This felt very skewed and unfair to me.","Today a bit better than in the last few days, the last leads definitely weigh the toughest, so I'm happy when I'm on vacation :)",314,7,ja,8,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,315,7,nee,6,masters jaar 2 +,"techniek, bestuur en management (tbm)"
,,316,4,ja,7,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
,,317,8,nee,7,bachelor jaar 1,civiele techniek & geowetenschappen (citg)
The combination of a smaller social life and sitting in my room all day made it difficult to stay motivated and concentrated.,I am once again stuck in an endless circle of work postponing-> feeling guilty-> postponing more,318,7,nee,3,bachelor jaar 2,"electrotechniek, wiskunde & informatica (ewi)"
,,319,7,no,7,masters 1st year,architecture and the built environment (a&be)
,too many things have to do so stressful and don't want to do anything ..,320,7,yes,7,masters 2nd year +,"mechanical, maritime, and material engineering (3me)"
,The sun has a positive effect on my condition,321,7,nee,8,masters jaar 1,industrieel ontwerpen (io)
"Not motivated to do something, often don't do anything behind my desk for whole days",,322,3,nee,6,masters jaar 2 +,technische natuurwetenschappen (tnw)
Subjects that are rather messy on BrightSpace are very tiring and time slurping. Does not really work well on the motivation,I do want to see that partial solar eclipse,323,9,nee,8,bachelor jaar 2,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
"I would appreciate it if the tutors were aware of the fact that students need a break from academic work, thus, not pushing too much conserving the limited academic environment. If I Slept Enough and had more time for recreation, I would feel a lot better.",,324,4,no,3,masters 2nd year +,architecture and the built environment (a&be)
,,325,8,ja,8,masters jaar 2 +,technische natuurwetenschappen (tnw)
I Need Discussion and Innovation,,326,4,no,6,bachelor 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
Social contact in The Academic Setting is Needed. Not just for free time,,327,4,no,5,bachelor 1st year,aerospace engineering (ae)
Not being able to watch his shoulders about another student and ask each other questions at that moment. Conversations on the corridors. The real io vibes. And constant distraction from games and youtube ... but mss that is a personal problem.,I would give up higher if I had worked more on the uni,328,8,ja,6,bachelor jaar 3,industrieel ontwerpen (io)
,,329,8,nee,8,bachelor jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
"I have a big problem with online education, I feel I am not motivated at all. But I keep pushing myself to finish what I have started.",,330,3,no,5,masters 2nd year +,civil engineering and geosciences (ceg)
"I was under the assumption that it would be a survey in everyone's opinion about what can be taken from the hybrid form of education to next year, instead of how I feel. In that respect, I think that for the good experience of education it should always be given 99% offline. And exams must always be taken offline. This ensures a completely different experience of the fabric and to what extent you dive into it. I would not have taken the amount of courses I passed this year if the exams had taken in the traditional way. So that works out well for myself, but it does reduce the quality of the program offered.",,331,8,nee,7,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
- No spontaneous encounters with fellow students - Motivation problems due to (1) a lack of relaxing activities and (2) the continuous dependent on yourself and your screen - interaction with teachers,,332,6,nee,5,masters jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
"- Back and shoulder complaints of the many computers without a good chair - no reflection on your design process, because you do not have fellow students that you can compare with. - Sometimes a lot of stress whether I will get something on time. - Make very long days (8 hours to 11 pm), because I don't get home and because of this I have the idea that I have to continue working anyway. - Being able to alternate school with fun social activities and also get less and less looking forward to it. - The idea that you are not heard and this study only does a bit alone.","Today I have planned some things next to school, I am really looking forward to this. Finally not all day behind the laptop ...",333,6,ja,8,bachelor jaar 3,bouwkunde (bk)
"I got a bit out of contact with friends, and I am now so used to studying at home, that I don't know how the switch to an on-campus study will go.",,334,8,nee,6,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,335,2,nee,3,bachelor jaar 2,"electrotechniek, wiskunde & informatica (ewi)"
"I think the TU was not very much oncoming according to the needs of students. It took a long time before we could study on campus, there was a lot of hassle with online exams, etc., and some teachers let the students cook a bit in their soaked cooking what is getting to study and I think that was very unnecessary and that there was faster and more could be done. On the other hand, they are now doing well with the puzzle to bring as many students as possible to the campus and that is not the case with every faculty. I am especially disappointed in how long my faculty took to adapt to the situation.",I have seen many friends today and have been able to sit outside,336,8,nee,8,bachelor jaar 3,technische natuurwetenschappen (tnw)
,little tired,337,7,nee,6,bachelor jaar 3,civiele techniek & geowetenschappen (citg)
Uncertainty in the run -up to online exams,"I am very bothered by hay fever, so I don't sleep well, have eyes that feel like they burn out of my eye sockets and a snot nose/hidden nose all day long",338,8,nee,3,bachelor jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,339,7,nee,8,bachelor jaar 1,bouwkunde (bk)
,,340,6,yes,6,bachelor 4th year +,aerospace engineering (ae)
,,341,,nee,,bachelor jaar 2,"electrotechniek, wiskunde & informatica (ewi)"
Reason to Live,"too much to read, no motivation to do so",342,1,yes,2,bachelor 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,343,6,yes,6,masters 2nd year +,industrial design engineering (ide)
,,344,3,nee,4,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
See previous answer. I feel very alone and only since 2 months do I see other students. I think that solid compensation should be given to students who have been living in crisis for a year and a half and do not receive any financial compensation for that!,,345,5,nee,7,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,346,,yes,8,masters 2nd year +,"technology, policy, and management (tpm)"
,,347,4,no,3,masters 2nd year +,architecture and the built environment (a&be)
,The sun has a positive effect on my condition,348,7,nee,8,masters jaar 1,industrieel ontwerpen (io)
,,349,6,nee,8,bachelor jaar 1,technische natuurwetenschappen (tnw)
,,350,9,nee,9,masters jaar 1,civiele techniek & geowetenschappen (citg)
"Because there is little social to do now, I notice that I and fellow students will spend even more time on Uni. I think it is healthier if there is a good distribution between relaxed/private life. Teachers come across unintellated to the webcam when they are sitting with their phone",,351,6,nee,7,masters jaar 1,bouwkunde (bk)
"Online lessons/lectures/working groups do not work. I hear this everywhere around me, but somehow it seems to be told the opposite on the news media every time. This is not correct and would like to raise it. It is very important that normal lessons can be given again in September.",,352,1,nee,2,bachelor jaar 2,civiele techniek & geowetenschappen (citg)
,,353,8,nee,5,masters jaar 1,civiele techniek & geowetenschappen (citg)
,,354,6,nee,6,bachelor jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
"I am graduating, and it feels like I'm just standing for it",,355,4,ja,6,masters jaar 2 +,industrieel ontwerpen (io)
,,356,,,,,
,,357,8,ja,8,masters jaar 2 +,technische natuurwetenschappen (tnw)
,,358,7,nee,8,masters jaar 1,civiele techniek & geowetenschappen (citg)
Many Teacher Have Panicked because of Corona Crisis and They Overloaded BrightSpace with Material (in Many Cases Unsuitable for the Time Scale Avisable for The Student). The Same Problem Appears in Exams Which is Unfair for Students Who Focus On Depth And Quality Rather Than On Speed ​​and Quantity.,,359,8,no,8,masters 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,360,6,nee,7,bachelor jaar 3,technische natuurwetenschappen (tnw)
,,361,6,ja,8,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
,,362,10,nee,10,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
"You miss the possibility of asking a teacher in person. In Person you can ask the question a little better. Must say: some teachers are good to understand your question and to give a good, clear answer, so I have not been bothered by a few.","Design for the design competition will not work at all, and that is our own fault. That creates a bit of a bell that splashes apart; You have worked on it for 4 months and then he doesn't.",363,9,nee,7,bachelor jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,364,7,ja,7,bachelor jaar 2,industrieel ontwerpen (io)
,,365,7,nee,7,masters jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
Meeting new people is now more difficult,,366,8,nee,8,masters jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
I just want to finish my degree: D,Just Came Back from Holidays and I'm very productive,367,6,no,10,masters 2nd year +,aerospace engineering (ae)
,,368,8,nee,8,masters jaar 2 +,civiele techniek & geowetenschappen (citg)
"Maybe Some Professional to Talk to About Various Child of Problems Related to Pressure, Stress and Well-Being For Students. But Perhaps this is already available in some form?","A Little Worn Out, Less Motivated",369,4,no,5,masters 2nd year +,"mechanical, maritime, and material engineering (3me)"
,,370,0,nee,0,bachelor jaar 2,civiele techniek & geowetenschappen (citg)
,,371,7,nee,7,bachelor jaar 4 +,industrieel ontwerpen (io)
,,372,7,no,7,masters 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,373,,,,,
,,374,3,no,6,masters 2nd year +,"electrical engineering, mathematic, and computer sciences (eemcs)"
"- loneliness (nothing to do about it, fair Enough); - The evening clock led to serious depression for me, so that at some point I could no longer study (useful). Normally I am going to do something out in the evening (groceries, exercise) so that I can sleep with Piece of Mind (nothing to do from the university, Fair Enough); - The week off after semester 1 was disastrous for my mental health and I became depressed/angry with boredom and stacked frustration. This was no longer fast enough to make a good start with Semester 2. Starting my own project can start, but I have to finish something like that before I can really focus on the study again and 1 week is just too short; - At the end of Semester 1, 4 exams were planned for me in 1 day. The teachers referred me to the study advisor. He referred me back to the teachers on somewhat bijdehante, while I had really clearly explained that I had referred by the teachers. In the end I was only able to make 2 of the 4 exams (so on the same day). - At a certain point in Q2, almost all lectures were on the same days (concentration is already difficult via the computer). Looking back worked very well through Virtual Classroom; - Collaborating with other students was sometimes difficult: not everyone adhered to agreements made or responded in time for deadlines and some did not really seem interested in the full depth of the assignments (sometimes this was very frustrating). - I think it is well -known that plagiarism and fraud are not tolerated. Always emphasizing this made it difficult for me to see myself as part of TU Delft Community (especially if it happens electronically, because some illuminating humor is then impossible).",,375,4,nee,7,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
"mental problems, too few social contacts, the feeling of losing friends",,376,6,nee,8,bachelor jaar 2,bouwkunde (bk)
Teachers need to know that there is a lot of pressure on students and take it more into account,,377,5,nee,5,masters jaar 1,bouwkunde (bk)
,,378,7,nee,8,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,"It's going fine, not bad",379,5,ja,6,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
"I have the idea that there is not really a weekend anymore. Every day runs open vaguely. However, I think it is difficult to find a solution for this, except to open the university more often. Perhaps something of study clusters idealize at the TU, where you can study in a small group o.i.d ....",,380,3,ja,3,"anders, namelijk",civiele techniek & geowetenschappen (citg)
,,381,7,yes,7,bachelor 3rd year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,382,7,no,7,masters 1st year,architecture and the built environment (a&be)
,,383,8,ja,9,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,384,6,yes,6,masters 2nd year +,architecture and the built environment (a&be)
,,385,8,ja,7,bachelor jaar 3,"techniek, bestuur en management (tbm)"
,,386,2,nee,10,masters jaar 1,civiele techniek & geowetenschappen (citg)
"Maybe less structure, but that is largely due to myself",,387,6,nee,6,bachelor jaar 2,bouwkunde (bk)
,stressed and not very motivated,388,7,nee,6,bachelor jaar 3,industrieel ontwerpen (io)
Studying completely independently and at home is not for me. I suspect that I will perform better next year.,,389,7,nee,3,masters jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,390,,no,,bachelor 2nd year,aerospace engineering (ae)
,,391,8,nee,7,bachelor jaar 3,civiele techniek & geowetenschappen (citg)
The exams are made almost impossible. They are too long and spicy. I'd rather take all exams protoctored and at a normal level.,,392,1,nee,3,bachelor jaar 3,civiele techniek & geowetenschappen (citg)
,,393,6,no,7,masters 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
"Loneliness, Lack of Movement, Little time for hobbies, Feeling locked up, tired and drowsy by just working behind a screen",tired of weeks in succession behind a screen,394,7,nee,7,masters jaar 2 +,technische natuurwetenschappen (tnw)
concentrate while attending colleges at home. Lack of control with fellow students.,,395,6,nee,7,bachelor jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,396,8,ja,8,bachelor jaar 1,technische natuurwetenschappen (tnw)
"I am personally very bad at individual work and Thrive on collaboration, sparring with students etc. As a graduate I missed this completely, a depression is added. Delay of more than a year is very likely.",,397,4,ja,3,masters jaar 2 +,industrieel ontwerpen (io)
"It was terrible to sit in my room endlessly. I mainly learn by talking to people about the material and much less from my book and from lectures. Because of this I put a lot of time into my studies without any results. In addition, I also experienced a lot of stress, because I love social contact a lot. I am sorry how last year went. I didn't get my BSA and it feels like I didn't have a fair chance.",,398,3,nee,1,bachelor jaar 1,technische natuurwetenschappen (tnw)
"During the hybrid educational period, some things were reported plenary / physically to the group of students, but some students were in quarantine duty, they did not always get everything that was said because not everything was always absorbed well.",,399,8,ja,8,masters jaar 2 +,bouwkunde (bk)
,,400,7,yes,7,bachelor 3rd year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,401,4,no,4,masters 1st year,"mechanical, maritime, and material engineering (3me)"
"Motivation was hard to find. Especially the usefulness of your actions, not knowing whether the future would ever return to normal, was difficult to portray. My worst home stay habits have also come up more. I have become more husy in the past year and a half and notice that I really have to get used to how people get back, as the world slowly opens again.",,402,8,nee,7,bachelor jaar 4 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,403,5,nee,5,bachelor jaar 4 +,"electrotechniek, wiskunde & informatica (ewi)"
,"Just fine, last mile for P5, but will all be fine. average day",404,8,ja,7,masters jaar 2 +,bouwkunde (bk)
Little contact with people,,405,5,nee,5,bachelor jaar 1,"techniek, bestuur en management (tbm)"
"Mostly with the TU Delft itself. The University has a put a huge amount of stress and work on us although they knew we were stuck at home due to covid. When I Asked For Help and Addressed How Stressed, Anxious and Worried I Was, there was no reliable help and teachers didn't care at all.",,406,9,nee,8,bachelor jaar 3,bouwkunde (bk)
"Gaming in contact with fellow students takes a lot of energy if it is not obvious, but that energy is difficult to bring if you have to put yourself to your desk every day, so you often don't really speak to anyone.",,407,6,nee,7,bachelor jaar 3,industrieel ontwerpen (io)
,,408,6,nee,7,bachelor jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,409,5,nee,4,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
"You have no comparison material. You do not know where you are in an insufficient or a 7 etc. You don't know very well whether you are lagging behind the rest. Difficult to ask for help, because sometimes questions are not answered. It's like you're the only one doing this study.",,410,3,nee,4,bachelor jaar 1,bouwkunde (bk)
"Ordinity in the courses, assignments and how and how much (possibilities for) help are offered. That really has to be better. I have also passed on ideas several times to the TU how things can be improved, but I have never received feedback about that and not noticed anything. As a result, I do not feel that these surveys really work.","Very difficult box that is not that way, with a lot of chaos and ambiguities. That led to a crying burst.",411,6,nee,3,bachelor jaar 2,industrieel ontwerpen (io)
"home college/ collaboration on projects works much better if it can be physically possible, prefer to work together physically for 2 hours than listen in the lecture hall, which is also possible at home",,412,8,nee,7,bachelor jaar 1,"techniek, bestuur en management (tbm)"
"A lot of stress because you can't just do cozy with fellow students and keep each other sharp, little motivation and inspiration because you are not inspired by your environment at all (at home) at all",,413,6,nee,5,bachelor jaar 4 +,bouwkunde (bk)
2many Chief,"The Minor System is Absolute AIDS, Imagine Giving 5 Picks for the Minor Just to Not Get Get Selected for Any And Being Forced To Study Something You Absolute Hate For 6 MonHS. Youre Gonna Start Wondering Whether This BSC is Actually WORTH IT OR NOT",414,2,nee,1,bachelor jaar 3,"electrotechniek, wiskunde & informatica (ewi)"
"This year is though, give all the student some credit",,415,5,nee,4,bachelor jaar 1,civiele techniek & geowetenschappen (citg)
,,416,6,ja,4,bachelor jaar 4 +,civiele techniek & geowetenschappen (citg)
"There is not enough account of the negative impact that studying at home on the performance of courses. (Teachers may use the crisis as a reason why the lessons are worse, only the test moments are kept as if nothing has changed. Unfair and frustrating)",way too much stress due to uni deadlines,417,6,nee,4,masters jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,418,2,nee,4,bachelor jaar 2,industrieel ontwerpen (io)
"Work and Live at Home. No change of scenery, eSpeciate defling the winter months. My Personal Study Progress was good, however Lack of the Social Excitement is what makes you emotionless and gray about time.",,419,9,ja,8,masters jaar 2 +,technische natuurwetenschappen (tnw)
,,420,,ja,8,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,"Very exhausted, but the end is in sight!",421,,nee,6,masters jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,422,8,ja,8,bachelor jaar 3,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,423,8,no,8,masters 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,424,,,,,
,,425,8,nee,7,bachelor jaar 3,"electrotechniek, wiskunde & informatica (ewi)"
,"Very busy with deadlines of courses, which ensures that I cannot enjoy the nice weather so well.",426,8,nee,7,masters jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,427,9,no,8,masters 2nd year +,industrial design engineering (ide)
Inability of professors with hybrid/online teaching. Thinking brainstorming sessions and ideas and group discussions are almost impossible online. Everyone forgets to give a break even after a year.,"a lot of hay fever, stress goes up like this in recent weeks",428,6,nee,6,masters jaar 1,technische natuurwetenschappen (tnw)
,"Feeling a Little Gloomy, Despite the Very Nice Weather. I am feeling better than usual thought! and talking to my parents always helps.",429,7,no,7,masters 1st year,aerospace engineering (ae)
"concentrating while learning, because you are constantly in the same room and can go somewhere",,430,7,nee,7,"anders, namelijk","werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
"Sitting too much behind a screen is very demotivating. Sometimes don't have to go outside for a few days in a row, it doesn't help.",,431,7,nee,7,bachelor jaar 3,civiele techniek & geowetenschappen (citg)
,,432,8,ja,8,bachelor jaar 4 +,civiele techniek & geowetenschappen (citg)
,,433,7,nee,9,bachelor jaar 1,civiele techniek & geowetenschappen (citg)
"At the start of Corona, a number of my exams were moved to the next exam week, so I was extra busy (2 exam weeks in 1 actually). As a result, I have not achieved part of my courses, so that I can no longer finish my studies nominal anymore.",,434,7,nee,7,bachelor jaar 3,technische natuurwetenschappen (tnw)
At the moment I just need some to talk with me.,,435,5,no,7,masters 1st year,"mechanical, maritime, and material engineering (3me)"
"Often no hearing from teachers and often difficult to contact us via, for example, mail, and information seems to be withheld such as test exams. Using a forum also has disadvantages. Colleges sometimes of low quality with disturbing background, bad microphone and the teacher unprepared. Also not being allowed to go to the campus once a week is not nice. Study places on campus remain limited. Gigantically high study pressure Premaster students and sometimes schedule problems, with for example 2 exams of 3 hours on the same day.",,436,4,ja,3,"anders, namelijk",luchtvaart- en ruimtevaarttechniek (lr)
,,437,4,yes,4,masters 2nd year +,"technology, policy, and management (tpm)"
,,438,4,yes,4,masters 2nd year +,industrial design engineering (ide)
,,439,6,nee,4,bachelor jaar 2,industrieel ontwerpen (io)
,,440,2,ja,5,bachelor jaar 4 +,industrieel ontwerpen (io)
"The Reason Why I Came to Study in The Netherlands is because the Education System in My Home Country Has Such Low Prestige. I really Enjoyed my ba at a different Dutch University, but the quality of education at tu delft was so inconsceivly low that I don't have for it for it. And what is sausage is that nobody (such as the study advisors or director of study) seems to care.",,441,9,no,7,masters 2nd year +,"technology, policy, and management (tpm)"
"I mainly suffered from dips, a period of 2 to 3 days that I didn't feel like anything, everything and everyone was stupid, I could not do social or be with groups of people. After those few days it went what weather, but I never had this for Corona",,442,8,ja,6,bachelor jaar 3,bouwkunde (bk)
,,443,8,no,6,masters 1st year,"technology, policy, and management (tpm)"
"I find it very difficult that I feel like communication from TU Delft is going slowly and that therefore my normal life would soon get going slowly. I also feel like TU Delft is not really waiting for it to open again. This also because cafes in faculties are still closed, while they would be open again from the government. Why is this not done while this can get the social life of students going again? My studies at the moment don't mean anything to me - I don't really enjoy it. I really hope that TU Delft can continue and think about what students need. Especially in this time.","Although the world is slowly opening again, I don't feel like that is going to be that way for my study life soon ...",444,3,nee,6,masters jaar 1,bouwkunde (bk)
More on Campus Education. I cannot stress this enough.,The Weather is Nice.,445,6,no,7,masters 1st year,other
,,446,5,ja,6,masters jaar 2 +,bouwkunde (bk)
,,447,,,,,
,,448,,ja,8,bachelor jaar 3,luchtvaart- en ruimtevaarttechniek (lr)
I Want to Continue Studying Online. I Already Lost My First Master's Year Due to Covid and Learned to Live Like This. I am not in the mood to have to attend class or show up for exams. Everything online just makes it soo much nicer.,"Monday's are always rough. Began Studying for Exams, which are going to be online again. yeii more time to spend at home. This Covid Situation has tasks too long. I Feel drained and need vacation hahahah",449,6,no,4,masters 1st year,"electrical engineering, mathematic, and computer sciences (eemcs)"
would be interested in the result of the wellness check,,450,0,no,0,masters 1st year,architecture and the built environment (a&be)
,,451,3,yes,4,masters 2nd year +,architecture and the built environment (a&be)
,,452,,nee,,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,453,4,nee,6,bachelor jaar 2,technische natuurwetenschappen (tnw)
,"Stressed for exams, and not being able to concentrate well at home through distractions. The UB, Pulse and Science Center have been fully booked a week in advance and you can only go there twice a week.",454,4,nee,6,bachelor jaar 3,luchtvaart- en ruimtevaarttechniek (lr)
"It would be nice if teachers supply their curriculum in different ways: ie video, slides and text, so that everyone can choose what they want to use because not everyone can learn in the same way.","I have deadlines, I am tired, I have a headache and I am staring at computer screens. But otherwise it is actually going pretty well.",455,7,nee,6,bachelor jaar 3,bouwkunde (bk)
Social Interaction. Escape from the routine.,,456,3,yes,3,masters 2nd year +,civil engineering and geosciences (ceg)
,,457,3,no,2,masters 2nd year +,architecture and the built environment (a&be)
"I Need the Tu Staff to Actual Do Their Job. I am Waiting for Answer from the Exchange Office and Student Affairs Staff which They Seem Not To Want To Answer because it would mean extra off-time work for them, Although My Inquiry is very Rightful. As Each Quarter Goes by Me and All My Tu Student Friends Lose Hope in The Tu Especiate in How Coldly They Treat Students and Their Needs. Maybe it is special as an aerospace student with Extra pressure but it really blows my mind how non-chalant and not professional some TU staff is. Teachers are good, but exchange officers are a joke that has no regard for students.",,458,4,no,3,bachelor 2nd year,aerospace engineering (ae)
I Don't Know,,459,6,no,4,bachelor 4th year +,industrial design engineering (ide)
Not really experiencing problems,,460,8,ja,9,bachelor jaar 3,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
